data_asin,title,price,original_price,rating,link
B0BNP2CMXM,GIGABYTE NVIDIA GeForce RTX 3060 WINDFORCE OC 12GB GDDR6 pci_e_x16 Graphics Card (GV-N3060WF2OC-12GD),"26,499","86,000",116,https://www.amazon.in/GIGABYTE-WINDFORCE-pci_e_x16-Graphics-GV-N3060WF2OC-12GD/dp/B0BNP2CMXM/ref=sr_1_1?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-1
B08WRF18SC,"Zotac Gaming Ge Force RTX 3060 Twin Edge GDDR6 12GB 192 Bit PCIe 3.0 PCI_E_X16 with Ice Storm 2.0 Cooling, 1777 Mhz Boost Clock & 5 Years Warranty (3 Years Warranty + 2 Years Extended Warranty)","26,649","44,400",333,https://www.amazon.in/Zotac-GDDR6-pci_Express_x16-Gaming-GEFORCE/dp/B08WRF18SC/ref=sr_1_2?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-2
B08WRK84PS,"Zotac Gaming Geforce Rtx 3060 Twin Edge Oc Gddr6 12Gb 192Bit Pcie 4.0 Graphics Cards With Icestorm 2.0 Cooling,1807 Mhz Boost Clock & 5 Yrs Warranty (3 Years Warranty + 2 Years Ext Warranty)-Pci_E_X16","26,949","44,400",503,https://www.amazon.in/Zotac-Graphics-IceStorm-Warranty-Extended/dp/B08WRK84PS/ref=sr_1_3?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-3
B08WHJFYM8,MSI GeForce RTX 3060 Ventus 2X 12G OC GDDR6 192-bit 12 GB pci_e Express Gen 4 Gaming Graphics Card,"29,229","77,600","1,684",https://www.amazon.in/MSI-GeForce-192-bit-Express-Graphics/dp/B08WHJFYM8/ref=sr_1_4?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-4
B0971BG25M,"GIGABYTE pci_e_x16 GeForce RTX 3060 Gaming OC 12G (REV2.0) Graphics Card, 3X WINDFORCE Fans, 12GB 192-bit GDDR6, GV-N3060GAMING OC-12GD REV2.0 Video Card","32,150","98,000","2,324",https://www.amazon.in/GIGABYTE-REV2-0-WINDFORCE-GV-N3060GAMING-OC-12GD/dp/B0971BG25M/ref=sr_1_5?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-5
B09JCJSK49,"INNO3D GEFORCE RTX 3060 Twin X2 12GB GDDR6 192-bit PCI Express Gen 4 Gaming Graphic Card - N30602-12D6-119032AH, pci_e","27,860","58,600",105,https://www.amazon.in/INNO3D-RTX3060-Express-Gaming-Graphic/dp/B09JCJSK49/ref=sr_1_6?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-6
B08WPRMVWB,"MSI Gaming Ge Force RTX 3060 GDDR6 PCI_E_X16 12GB 15 GB Ps GDRR6 192-Bit HDMI/DP PCIE 4 Torx Twin Fan Ampere OC Graphics Card (RTX 3060 Ventus 2X 12G OC), Black","29,750","56,250","2,858",https://www.amazon.in/MSI-GeForce-RTX-3060-12G/dp/B08WPRMVWB/ref=sr_1_7?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-7
B08WBB7KXV,"GIGABYTE NVIDIA GeForce RTX 3060 Vision OC 12GB GDDR6 Graphics Card (GV-N3060VISION OC-12GD, Graphics Card Interface: pci_e_x16)","34,449","98,000",23,https://www.amazon.in/GIGABYTE-GeForce-Graphics-GV-N3060VISION-OC-12GD/dp/B08WBB7KXV/ref=sr_1_8?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-8
B0CHJV11VC,ZOTAC Gaming GEFORCE RTX 3050 ECO 8GB GDDR6 & 5 Years Warranty (3 Years Warranty + 2 Years Extended Warranty),"20,633","35,520",4,https://www.amazon.in/ZOTAC-Gaming-GEFORCE-3050-GDDR6/dp/B0CHJV11VC/ref=sr_1_9?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-9
B08X4V8N5Q,"GIGABYTE Geforce RTX 3060 Gaming Oc 12G Graphics Card,3X Windforce Fans,12Gb 192-Bit Gddr6,Gv-N3060Gaming Oc-12Gd Video Card,pci_e_x16","32,160","1,75,999",139,https://www.amazon.in/GIGABYTE-GeForce-Graphics-WINDFORCE-GV-N3060GAMING/dp/B08X4V8N5Q/ref=sr_1_10?crid=SH3BJG6FJPPG&dib=eyJ2IjoiMSJ9.HCNuCNZAGFkjXFXlYxvP6FWiNvRscQWSsdhQfT5Mm5EqIo4JD8jr4JNfeMKUfZ0HJ7sYjizn2d2ahqHRhaPv3EcHhytD_i-vUOKALJuI88ltvehi97BfEeKWOQUIa1e5Xdg3Nc-m0ta06xWTIwOFVeeIrKZNbsOE6BOgSBwqbjZogBXjVwg8IeFIBZPbrR1Hjzt2xdVYJP652qwAEtXohmWrwthrRmfgFGlcGBj0XqQ.-OftV22AjgsA_3m0YMrak0-szNHIUPEQTK1pTLCIywU&dib_tag=se&keywords=rtx+3060&qid=1717861578&sprefix=rtx%2Caps%2C280&sr=8-10
